LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH,address
-111.5723157,35.2367222,6110,N HIGHWAY 89,,,,,86004,,ec074bdfa4581255,6110 N HIGHWAY 89  
-111.6721066,35.2336899,3111,W SHANNON DR,,,,,86001,,a7d9e14ded9387d9,3111 W SHANNON DR  
-111.655159,35.21562,1380,N ROCKRIDGE RD,,,,,86001,,6483fb4f4c44a89c,1380 N ROCKRIDGE RD  
-111.6280716,35.2138244,2200,N GEMINI DR,,,,,86004,,6ebc625bcc95e169,2200 N GEMINI DR  
-111.6023767,35.2130945,3101,E LEWIS DR,,,,,86004,,0de30a0ef7c77856,3101 E LEWIS DR  
-111.5766721,35.2310618,5450,N HIGHWAY 89,,,,,86004,,ea5acbb3544d5299,5450 N HIGHWAY 89  
-111.5658119,35.2310085,5400,E EMPIRE AVE,,,,,86004,,036f5ea6418565fe,5400 E EMPIRE AVE  
-111.5845318,35.2201198,4355,E INDUSTRIAL DR,,,,,86004,,e8302075c0dcc5d8,4355 E INDUSTRIAL DR  
-111.6439423,35.2185675,1937,N MARION DR,,,,,86001,,e0da4e6dbe646d1f,1937 N MARION DR  
-111.6515137,35.2145755,1531,N KUTCH DR,,,,,86001,,61013eb94e5b6d33,1531 N KUTCH DR  
-111.6851323,35.1605018,1525,W PALMER AVE,,,,,86005,,6dfcb04acb800019,1525 W PALMER AVE  
-111.6223822,35.2166476,2850,N IZABEL ST,,,,,86004,,6c0c54d806791b78,2850 N IZABEL ST  
-111.6223473,35.2165895,2842,N IZABEL ST,,,,,86004,,6547fd256df6e1a8,2842 N IZABEL ST  
-111.6223901,35.2165466,2848,N IZABEL ST,,,,,86004,,6c00df0dc5a8cc58,2848 N IZABEL ST  
-111.6223841,35.2164676,2846,N IZABEL ST,,,,,86004,,82e8233647489213,2846 N IZABEL ST  
-111.6223819,35.2163965,2844,N IZABEL ST,,,,,86004,,4478c5949f0c7506,2844 N IZABEL ST  
-111.6567024,35.2162055,1500,N KITTREDGE RD,,,,,86001,,cc8d13c446032f6e,1500 N KITTREDGE RD  
-111.6167992,35.2128206,2500,N FIRST ST,,,,,86004,,6ba9cdc3f3dae52b,2500 N FIRST ST  
-111.6037388,35.2125049,3007 1/2,E LEWIS DR,,,,,86004,,54276d96ff4ee7be,3007 1/2 E LEWIS DR  
-111.609182,35.2114524,2633,E SEVENTH AVE,,,,,86004,,934d915923f9cc8b,2633 E SEVENTH AVE  
-111.6125658,35.2114039,2320,N FOURTH ST,,,,,86004,,e3a1180d439403e5,2320 N FOURTH ST  
-111.6125589,35.2112415,2312,N FOURTH ST,,,,,86004,,d6243e733825d06b,2312 N FOURTH ST  
-111.6092326,35.2112046,2621,E SEVENTH AVE,,,,,86004,,9f2fe858da3f3f58,2621 E SEVENTH AVE  
-111.6125591,35.2111845,2310,N FOURTH ST,,,,,86004,,864ae518d46c07d9,2310 N FOURTH ST  
-111.6093223,35.2110499,2615,E SEVENTH AVE,,,,,86004,,ba399dfeb30b7b72,2615 E SEVENTH AVE  
-111.5785488,35.2054696,2925,N FAIRVIEW DR,,,,,86004,,13a0257ed41e9ab0,2925 N FAIRVIEW DR  
-111.5789396,35.2048195,2851,N FAIRVIEW DR,,,,,86004,,267383adc0c458c1,2851 N FAIRVIEW DR  
